
Branch,Degree,Score/800,Aptitude,English,Quantitative,Analytical,Domain,Computer Fundamental,Coding,Placement Status
Mechanical Engineering,B. Tech.,527,62 %,67 %,53 %,67 %,50 %,13 %,00 %,
Electrical Engineering,B. Tech.,524,62 %,60 %,73 %,53 %,30 %,20 %,20 %,Placed
Computer Science Engineering,B. Tech.,524,53 %,73 %,60 %,27 %,45 %,87 %,20 %,
Electrical Engineering,B. Tech.,524,58 %,53 %,53 %,67 %,35 %,20 %,00 %,
Information Technology,B. Tech.,524,53 %,53 %,47 %,60 %,35 %,73 %,20 %,
Electronics and Communications Engineering,B. Tech.,524,56 %,60 %,40 %,67 %,65 %,33 %,00 %,Placed
Electronics and Communications Engineering,B. Tech.,524,56 %,47 %,60 %,60 %,55 %,33 %,20 %,
Electronics and Communications Engineering,B. Tech.,524,53 %,67 %,53 %,40 %,55 %,47 %,56 %,
Applied Electronics and Instrumentation,B. Tech.,524,64 %,67 %,60 %,67 %,15 %,27 %,20 %,
Electrical Engineering,B. Tech.,524,64 %,73 %,47 %,73 %,35 %,20 %,00 %,
Electrical Engineering,B. Tech.,521,53 %,60 %,27 %,73 %,40 %,40 %,20 %,Placed
Mechanical Engineering,B. Tech.,521,60 %,60 %,80 %,40 %,50 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,521,58 %,67 %,40 %,67 %,50 %,40 %,20 %,
Information Technology,B. Tech.,521,58 %,60 %,53 %,60 %,55 %,40 %,20 %,Placed
Mechanical Engineering,B. Tech.,521,56 %,60 %,60 %,47 %,55 %,40 %,00 %,Placed
Electrical Engineering,B. Tech.,521,51 %,60 %,53 %,40 %,35 %,47 %,20 %,
Mechanical Engineering,B. Tech.,521,58 %,80 %,33 %,60 %,35 %,27 %,00 %,Placed
Mechanical Engineering,B. Tech.,521,60 %,47 %,73 %,60 %,25 %,40 %,00 %,
Applied Electronics and Instrumentation,B. Tech.,521,60 %,47 %,47 %,87 %,35 %,27 %,00 %,
Mechanical Engineering,B. Tech.,521,62 %,60 %,60 %,67 %,55 %,13 %,00 %,
Computer Science Engineering,B. Tech.,518,56 %,47 %,47 %,73 %,30 %,53 %,20 %,
