
Branch,Degree,Score/800,Aptitude,English,Quantitative,Analytical,Domain,Computer Fundamental,Coding,Placement Status
Computer Science Engineering,B. Tech.,506,51 %,60 %,53 %,40 %,35 %,20 %,20 %,
Electronics and Communications Engineering,B. Tech.,503,49 %,73 %,33 %,40 %,30 %,33 %,00 %,
Electrical Engineering,B. Tech.,494,51 %,60 %,20 %,73 %,40 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,491,47 %,47 %,40 %,53 %,45 %,40 %,00 %,
Computer Science Engineering,B. Tech.,491,47 %,53 %,33 %,53 %,50 %,13 %,00 %,
Electronics and Communications Engineering,B. Tech.,491,49 %,53 %,47 %,47 %,25 %,13 %,00 %,
Electronics and Communications Engineering,B. Tech.,491,51 %,67 %,73 %,13 %,30 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,488,49 %,27 %,67 %,53 %,50 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,485,47 %,47 %,47 %,47 %,35 %,40 %,00 %,
Computer Science Engineering,B. Tech.,485,44 %,60 %,47 %,27 %,45 %,53 %,20 %,
Computer Science Engineering,B. Tech.,482,49 %,40 %,60 %,47 %,60 %,07 %,20 %,
Computer Science Engineering,B. Tech.,482,47 %,60 %,27 %,53 %,50 %,27 %,20 %,
Electrical Engineering,B. Tech.,482,49 %,60 %,33 %,53 %,25 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,482,49 %,40 %,67 %,40 %,25 %,40 %,00 %,
Electrical Engineering,B. Tech.,482,47 %,60 %,33 %,47 %,35 %,53 %,00 %,
Electronics and Communications Engineering,B. Tech.,479,47 %,67 %,33 %,40 %,20 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,476,49 %,67 %,33 %,47 %,35 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,476,44 %,53 %,27 %,53 %,40 %,53 %,00 %,
Computer Science Engineering,B. Tech.,476,47 %,67 %,20 %,53 %,25 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,473,42 %,60 %,20 %,47 %,25 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,473,44 %,20 %,53 %,60 %,40 %,47 %,00 %,
Electrical Engineering,B. Tech.,470,44 %,53 %,33 %,47 %,35 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,470,42 %,73 %,20 %,33 %,35 %,33 %,00 %,
Electrical Engineering,B. Tech.,470,42 %,67 %,00 %,60 %,20 %,00 %,00 %,
Computer Science Engineering,B. Tech.,467,40 %,40 %,40 %,40 %,25 %,27 %,20 %,
Electronics and Communications Engineering,B. Tech.,467,44 %,47 %,60 %,27 %,25 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,464,40 %,67 %,27 %,27 %,20 %,60 %,20 %,
Computer Science Engineering,B. Tech.,464,38 %,20 %,47 %,47 %,25 %,33 %,20 %,
Electronics and Communications Engineering,B. Tech.,464,40 %,47 %,33 %,40 %,20 %,47 %,00 %,
Computer Science Engineering,B. Tech.,464,40 %,60 %,20 %,40 %,10 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,461,40 %,60 %,13 %,47 %,15 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,461,38 %,40 %,20 %,53 %,35 %,40 %,20 %,
Computer Science Engineering,B. Tech.,461,42 %,47 %,33 %,47 %,20 %,33 %,00 %,
Electrical Engineering,B. Tech.,461,40 %,47 %,33 %,40 %,35 %,33 %,00 %,
Electrical Engineering,B. Tech.,461,42 %,33 %,47 %,47 %,35 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,458,44 %,47 %,33 %,53 %,10 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,455,47 %,67 %,33 %,40 %,30 %,07 %,00 %,
Electronics and Communications Engineering,B. Tech.,455,40 %,60 %,33 %,27 %,35 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,455,40 %,40 %,20 %,60 %,45 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,455,40 %,60 %,20 %,40 %,35 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,455,40 %,47 %,20 %,53 %,40 %,27 %,00 %,
Electrical Engineering,B. Tech.,455,38 %,47 %,27 %,40 %,40 %,47 %,00 %,
Computer Science Engineering,B. Tech.,449,38 %,60 %,07 %,47 %,45 %,33 %,00 %,
Electrical Engineering,B. Tech.,449,40 %,40 %,40 %,40 %,25 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,449,40 %,33 %,40 %,47 %,35 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,449,40 %,40 %,53 %,27 %,30 %,20 %,00 %,
Computer Science Engineering,B. Tech.,449,42 %,27 %,47 %,53 %,10 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,446,38 %,60 %,00 %,53 %,30 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,446,38 %,40 %,20 %,53 %,25 %,07 %,00 %,
Computer Science Engineering,B. Tech.,443,40 %,47 %,33 %,40 %,40 %,33 %,00 %,
Electrical Engineering,B. Tech.,443,42 %,47 %,27 %,53 %,30 %,13 %,00 %,
Electronics and Communications Engineering,B. Tech.,443,40 %,67 %,13 %,40 %,25 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,440,36 %,53 %,07 %,47 %,45 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,440,38 %,60 %,20 %,33 %,60 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,440,38 %,53 %,20 %,40 %,30 %,33 %,00 %,
Electrical Engineering,B. Tech.,437,40 %,60 %,13 %,47 %,35 %,07 %,00 %,
Electronics and Communications Engineering,B. Tech.,434,36 %,33 %,33 %,40 %,25 %,13 %,20 %,
Electronics and Communications Engineering,B. Tech.,434,36 %,20 %,33 %,53 %,45 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,431,36 %,47 %,20 %,40 %,40 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,431,33 %,47 %,27 %,27 %,50 %,27 %,00 %,
Computer Science Engineering,B. Tech.,431,38 %,40 %,40 %,33 %,25 %,33 %,00 %,
Computer Science Engineering,B. Tech.,428,36 %,47 %,07 %,53 %,20 %,33 %,00 %,
Computer Science Engineering,B. Tech.,428,33 %,33 %,33 %,33 %,15 %,33 %,00 %,
Electrical Engineering,B. Tech.,428,36 %,60 %,20 %,27 %,20 %,20 %,00 %,
Computer Science Engineering,B. Tech.,428,38 %,40 %,13 %,60 %,20 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,425,33 %,20 %,40 %,40 %,40 %,20 %,00 %,
Computer Science Engineering,B. Tech.,422,31 %,33 %,27 %,33 %,40 %,53 %,20 %,
Electrical Engineering,B. Tech.,422,33 %,53 %,47 %,00 %,40 %,13 %,00 %,
Electronics and Communications Engineering,B. Tech.,422,31 %,40 %,27 %,27 %,10 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,422,36 %,27 %,27 %,53 %,30 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,422,33 %,73 %,00 %,27 %,35 %,47 %,00 %,
Computer Science Engineering,B. Tech.,419,33 %,53 %,27 %,20 %,15 %,67 %,00 %,
Electrical Engineering,B. Tech.,419,31 %,53 %,20 %,20 %,40 %,40 %,00 %,
Computer Science Engineering,B. Tech.,419,31 %,20 %,27 %,47 %,40 %,40 %,00 %,
Computer Science Engineering,B. Tech.,416,33 %,40 %,33 %,27 %,40 %,20 %,00 %,
Computer Science Engineering,B. Tech.,413,31 %,60 %,07 %,27 %,25 %,27 %,00 %,
Computer Science Engineering,B. Tech.,413,33 %,60 %,13 %,27 %,40 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,410,31 %,13 %,40 %,40 %,40 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,407,31 %,33 %,13 %,47 %,20 %,20 %,00 %,
Computer Science Engineering,B. Tech.,401,31 %,20 %,40 %,33 %,15 %,13 %,00 %,
Electrical Engineering,B. Tech.,392,29 %,33 %,13 %,40 %,45 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,389,29 %,33 %,20 %,33 %,35 %,20 %,00 %,
Electrical Engineering,B. Tech.,386,27 %,27 %,27 %,27 %,25 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,383,24 %,13 %,27 %,33 %,35 %,20 %,56 %,
Electrical Engineering,B. Tech.,380,27 %,33 %,07 %,40 %,30 %,33 %,00 %,
Electrical Engineering,B. Tech.,380,27 %,20 %,33 %,27 %,25 %,40 %,00 %,
Electrical Engineering,B. Tech.,380,29 %,33 %,00 %,53 %,30 %,13 %,00 %,
Electrical Engineering,B. Tech.,374,24 %,33 %,33 %,07 %,35 %,20 %,00 %,
Electrical Engineering,B. Tech.,371,24 %,27 %,20 %,27 %,15 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,368,22 %,27 %,27 %,13 %,45 %,13 %,00 %,
Electronics and Communications Engineering,B. Tech.,365,24 %,33 %,07 %,33 %,25 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,362,22 %,40 %,07 %,20 %,20 %,13 %,00 %,
Electrical Engineering,B. Tech.,344,20 %,07 %,47 %,07 %,35 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,344,22 %,13 %,27 %,27 %,45 %,33 %,00 %,
Computer Science Engineering,B. Tech.,338,20 %,13 %,33 %,13 %,10 %,33 %,00 %,
Electrical Engineering,B. Tech.,332,18 %,33 %,00 %,20 %,25 %,40 %,00 %,
Electrical Engineering,B. Tech.,296,11 %,27 %,00 %,07 %,20 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,617,69 %,80 %,47 %,80 %,60 %,47 %,60 %,Placed
Computer Science Engineering,B. Tech.,569,69 %,67 %,67 %,73 %,35 %,53 %,20 %,
Mechanical Engineering,B. Tech.,554,62 %,67 %,67 %,53 %,55 %,47 %,00 %,
Civil Engineering,B. Tech.,551,73 %,87 %,67 %,67 %,50 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,548,56 %,47 %,47 %,73 %,30 %,27 %,60 %,
Electronics and Communications Engineering,B. Tech.,548,60 %,53 %,60 %,67 %,15 %,47 %,20 %,
Electrical and Electronics Engineering,B. Tech.,545,64 %,60 %,60 %,73 %,50 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,542,58 %,60 %,33 %,80 %,40 %,47 %,00 %,
Electrical and Electronics Engineering,B. Tech.,536,56 %,80 %,20 %,67 %,35 %,40 %,00 %,
Electrical and Electronics Engineering,B. Tech.,536,60 %,60 %,53 %,67 %,55 %,27 %,00 %,
Electrical Engineering,B. Tech.,533,69 %,47 %,67 %,93 %,50 %,33 %,00 %,
Computer Science Engineering,B. Tech.,533,53 %,60 %,40 %,60 %,40 %,33 %,56 %,
Electrical Engineering,B. Tech.,530,64 %,87 %,60 %,47 %,30 %,27 %,00 %,
Computer Science Engineering,B. Tech.,530,56 %,87 %,20 %,60 %,35 %,60 %,00 %,
Computer Science Engineering,B. Tech.,527,58 %,67 %,47 %,60 %,20 %,47 %,00 %,
Electrical and Electronics Engineering,B. Tech.,527,62 %,67 %,53 %,67 %,35 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,527,58 %,80 %,27 %,67 %,40 %,27 %,00 %,
Electrical Engineering,B. Tech.,527,56 %,80 %,27 %,60 %,40 %,53 %,00 %,
Electronics and Communications Engineering,B. Tech.,521,58 %,67 %,53 %,53 %,30 %,40 %,00 %,
Mechanical Engineering,B. Tech.,521,58 %,47 %,60 %,67 %,60 %,33 %,00 %,
Electrical Engineering,B. Tech.,518,53 %,53 %,27 %,80 %,30 %,27 %,20 %,
Electronics and Communications Engineering,B. Tech.,518,51 %,80 %,40 %,33 %,40 %,60 %,00 %,
Electrical and Electronics Engineering,B. Tech.,518,56 %,47 %,60 %,60 %,30 %,07 %,20 %,
Electrical and Electronics Engineering,B. Tech.,518,60 %,33 %,73 %,73 %,40 %,33 %,00 %,
Computer Science Engineering,B. Tech.,515,53 %,73 %,40 %,47 %,30 %,53 %,00 %,
Computer Science Engineering,B. Tech.,515,56 %,27 %,67 %,73 %,40 %,60 %,00 %,
Electrical and Electronics Engineering,B. Tech.,515,53 %,67 %,27 %,67 %,40 %,33 %,00 %,
Mechanical Engineering,B. Tech.,515,58 %,87 %,47 %,40 %,35 %,20 %,00 %,
Computer Science Engineering,B. Tech.,515,56 %,47 %,47 %,73 %,55 %,47 %,00 %,
Electrical and Electronics Engineering,B. Tech.,512,53 %,67 %,33 %,60 %,65 %,20 %,20 %,Placed
Electrical and Electronics Engineering,B. Tech.,512,49 %,53 %,33 %,60 %,40 %,47 %,00 %,
Mechanical Engineering,B. Tech.,512,58 %,60 %,47 %,67 %,45 %,40 %,00 %,
Electrical and Electronics Engineering,B. Tech.,512,56 %,67 %,47 %,53 %,20 %,53 %,00 %,
Electronics and Communications Engineering,B. Tech.,512,60 %,73 %,40 %,67 %,20 %,20 %,00 %,
Computer Science Engineering,B. Tech.,512,58 %,73 %,60 %,40 %,15 %,20 %,20 %,
Electrical Engineering,B. Tech.,509,58 %,73 %,33 %,67 %,30 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,509,56 %,60 %,33 %,73 %,35 %,20 %,00 %,Placed
Computer Science Engineering,B. Tech.,509,51 %,53 %,53 %,47 %,50 %,60 %,00 %,
Electronics and Communications Engineering,B. Tech.,509,49 %,73 %,27 %,47 %,45 %,33 %,00 %,Placed
Computer Science Engineering,B. Tech.,509,49 %,60 %,40 %,47 %,45 %,67 %,20 %,Placed
Electronics and Communications Engineering,B. Tech.,506,53 %,40 %,47 %,73 %,15 %,40 %,00 %,
Computer Science Engineering,B. Tech.,506,51 %,60 %,27 %,67 %,45 %,60 %,00 %,Placed
Electronics and Communications Engineering,B. Tech.,506,51 %,60 %,53 %,40 %,50 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,506,53 %,87 %,00 %,73 %,20 %,33 %,00 %,
Electrical and Electronics Engineering,B. Tech.,506,56 %,47 %,47 %,73 %,35 %,60 %,00 %,
Electronics and Communications Engineering,B. Tech.,506,51 %,60 %,47 %,47 %,45 %,47 %,00 %,
Mechanical Engineering,B. Tech.,506,53 %,60 %,40 %,60 %,25 %,27 %,00 %,Placed
Computer Science Engineering,B. Tech.,503,49 %,73 %,20 %,53 %,30 %,60 %,00 %,
Mechanical Engineering,B. Tech.,503,53 %,67 %,27 %,67 %,35 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,503,53 %,73 %,33 %,53 %,30 %,20 %,00 %,Placed
Computer Science Engineering,B. Tech.,500,49 %,60 %,33 %,53 %,30 %,60 %,00 %,
Electrical Engineering,B. Tech.,500,53 %,60 %,53 %,47 %,45 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,500,49 %,67 %,33 %,47 %,30 %,13 %,00 %,Placed
Electronics and Communications Engineering,B. Tech.,500,49 %,47 %,53 %,47 %,20 %,47 %,20 %,
Electrical Engineering,B. Tech.,497,53 %,60 %,27 %,73 %,20 %,53 %,00 %,
Electronics and Communications Engineering,B. Tech.,497,49 %,60 %,40 %,47 %,30 %,47 %,00 %,Placed
Computer Science Engineering,B. Tech.,497,56 %,53 %,40 %,73 %,25 %,53 %,00 %,
Computer Science Engineering,B. Tech.,497,47 %,53 %,20 %,67 %,30 %,33 %,00 %,
Electrical Engineering,B. Tech.,497,51 %,47 %,20 %,87 %,40 %,60 %,00 %,
Electrical Engineering,B. Tech.,497,49 %,53 %,47 %,47 %,25 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,494,53 %,40 %,73 %,47 %,45 %,40 %,20 %,
Electrical and Electronics Engineering,B. Tech.,494,51 %,47 %,60 %,47 %,55 %,20 %,00 %,
Electrical Engineering,B. Tech.,494,49 %,53 %,47 %,47 %,35 %,27 %,00 %,
Electrical and Electronics Engineering,B. Tech.,494,51 %,60 %,13 %,80 %,30 %,20 %,00 %,
Mechanical Engineering,B. Tech.,494,53 %,33 %,47 %,80 %,15 %,20 %,00 %,
Computer Science Engineering,B. Tech.,491,49 %,60 %,27 %,60 %,35 %,53 %,18 %,
Electronics and Communications Engineering,B. Tech.,491,49 %,47 %,40 %,60 %,50 %,47 %,00 %,
Electrical Engineering,B. Tech.,491,44 %,73 %,13 %,47 %,10 %,80 %,00 %,
Computer Science Engineering,B. Tech.,491,51 %,47 %,40 %,67 %,25 %,27 %,00 %,
Mechanical Engineering,B. Tech.,491,56 %,80 %,40 %,47 %,25 %,20 %,00 %,
Computer Science Engineering,B. Tech.,491,51 %,47 %,27 %,80 %,40 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,491,47 %,67 %,20 %,53 %,40 %,33 %,00 %,Placed
Electrical Engineering,B. Tech.,488,56 %,53 %,53 %,60 %,25 %,20 %,00 %,
Electrical Engineering,B. Tech.,488,49 %,47 %,40 %,60 %,40 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,488,49 %,53 %,33 %,60 %,15 %,20 %,00 %,
Mechanical Engineering,B. Tech.,488,49 %,53 %,33 %,60 %,40 %,33 %,00 %,
Computer Science Engineering,B. Tech.,488,51 %,53 %,33 %,67 %,20 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,485,49 %,60 %,27 %,60 %,20 %,27 %,00 %,
Computer Science Engineering,B. Tech.,485,47 %,60 %,27 %,53 %,25 %,33 %,20 %,Placed
Electronics and Communications Engineering,B. Tech.,485,49 %,73 %,20 %,53 %,35 %,20 %,00 %,
Computer Science Engineering,B. Tech.,485,44 %,67 %,40 %,27 %,40 %,47 %,00 %,
Mechanical Engineering,B. Tech.,485,49 %,47 %,67 %,33 %,25 %,40 %,00 %,
Electrical and Electronics Engineering,B. Tech.,485,51 %,47 %,60 %,47 %,45 %,20 %,00 %,
Electrical and Electronics Engineering,B. Tech.,485,51 %,40 %,40 %,73 %,35 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,485,44 %,40 %,53 %,40 %,25 %,20 %,00 %,
Computer Science Engineering,B. Tech.,482,47 %,47 %,20 %,73 %,45 %,53 %,00 %,
Mechanical Engineering,B. Tech.,482,47 %,67 %,33 %,40 %,45 %,20 %,00 %,
Mechanical Engineering,B. Tech.,482,49 %,67 %,60 %,20 %,60 %,13 %,00 %,
Mechanical Engineering,B. Tech.,482,53 %,33 %,53 %,73 %,45 %,33 %,00 %,
Electrical and Electronics Engineering,B. Tech.,482,47 %,47 %,53 %,40 %,50 %,53 %,00 %,
Mechanical Engineering,B. Tech.,482,47 %,47 %,40 %,53 %,60 %,20 %,00 %,
Electrical Engineering,B. Tech.,479,51 %,27 %,33 %,93 %,15 %,27 %,00 %,
Electrical Engineering,B. Tech.,479,47 %,53 %,40 %,47 %,35 %,33 %,20 %,
Civil Engineering,B. Tech.,479,42 %,53 %,33 %,40 %,35 %,27 %,00 %,
Computer Science Engineering,B. Tech.,479,44 %,53 %,40 %,40 %,40 %,53 %,00 %,
Electrical and Electronics Engineering,B. Tech.,476,44 %,53 %,33 %,47 %,35 %,40 %,00 %,
Mechanical Engineering,B. Tech.,476,47 %,60 %,27 %,53 %,35 %,00 %,00 %,Placed
Electrical Engineering,B. Tech.,476,47 %,33 %,33 %,73 %,25 %,20 %,00 %,
Civil Engineering,B. Tech.,476,47 %,47 %,33 %,60 %,45 %,20 %,00 %,
Electrical Engineering,B. Tech.,476,51 %,33 %,40 %,80 %,20 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,473,42 %,47 %,33 %,47 %,20 %,40 %,00 %,
Electrical and Electronics Engineering,B. Tech.,473,40 %,40 %,27 %,53 %,35 %,33 %,20 %,
Mechanical Engineering,B. Tech.,473,42 %,33 %,27 %,67 %,40 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,473,40 %,47 %,07 %,67 %,60 %,33 %,00 %,
Mechanical Engineering,B. Tech.,473,47 %,53 %,47 %,40 %,30 %,40 %,00 %,
Computer Science Engineering,B. Tech.,470,44 %,47 %,33 %,53 %,40 %,20 %,00 %,
Electrical Engineering,B. Tech.,470,44 %,53 %,40 %,40 %,20 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,470,44 %,40 %,27 %,67 %,30 %,20 %,00 %,
Electrical Engineering,B. Tech.,470,42 %,47 %,33 %,47 %,35 %,33 %,00 %,
Computer Science Engineering,B. Tech.,467,49 %,40 %,60 %,47 %,30 %,27 %,00 %,
Civil Engineering,B. Tech.,467,47 %,40 %,60 %,40 %,45 %,40 %,00 %,
Computer Science Engineering,B. Tech.,467,44 %,47 %,33 %,53 %,50 %,33 %,20 %,
Electrical Engineering,B. Tech.,467,47 %,87 %,53 %,00 %,50 %,13 %,00 %,
Mechanical Engineering,B. Tech.,467,44 %,60 %,27 %,47 %,35 %,13 %,00 %,
Computer Science Engineering,B. Tech.,467,44 %,33 %,53 %,47 %,35 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,467,47 %,47 %,40 %,53 %,45 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,467,44 %,47 %,27 %,60 %,40 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,467,42 %,47 %,13 %,67 %,55 %,33 %,00 %,
Electrical and Electronics Engineering,B. Tech.,467,44 %,40 %,40 %,53 %,35 %,20 %,00 %,
Computer Science Engineering,B. Tech.,464,40 %,47 %,33 %,40 %,50 %,40 %,00 %,
Electrical Engineering,B. Tech.,464,44 %,47 %,40 %,47 %,40 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,464,44 %,47 %,40 %,47 %,20 %,53 %,00 %,
Electrical and Electronics Engineering,B. Tech.,464,44 %,47 %,53 %,33 %,15 %,40 %,00 %,
Electrical Engineering,B. Tech.,464,42 %,40 %,27 %,60 %,35 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,461,44 %,47 %,27 %,60 %,50 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,461,44 %,27 %,33 %,73 %,20 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,461,44 %,47 %,40 %,47 %,40 %,20 %,00 %,
Mechanical Engineering,B. Tech.,458,42 %,53 %,27 %,47 %,55 %,40 %,00 %,
Computer Science Engineering,B. Tech.,458,42 %,53 %,40 %,33 %,40 %,53 %,00 %,
Electronics and Communications Engineering,B. Tech.,458,42 %,53 %,40 %,33 %,40 %,20 %,00 %,
Mechanical Engineering,B. Tech.,458,42 %,67 %,33 %,27 %,35 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,458,44 %,47 %,27 %,60 %,10 %,13 %,00 %,
Electrical Engineering,B. Tech.,458,44 %,20 %,67 %,47 %,20 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,455,42 %,40 %,33 %,53 %,35 %,33 %,00 %,
Computer Science Engineering,B. Tech.,455,40 %,60 %,20 %,40 %,25 %,27 %,00 %,
Computer Science Engineering,B. Tech.,455,38 %,53 %,20 %,40 %,55 %,40 %,20 %,
Computer Science Engineering,B. Tech.,455,40 %,33 %,27 %,60 %,45 %,20 %,00 %,
Electrical Engineering,B. Tech.,455,44 %,33 %,47 %,53 %,30 %,20 %,00 %,
Mechanical Engineering,B. Tech.,455,42 %,20 %,33 %,73 %,50 %,20 %,00 %,
Computer Science Engineering,B. Tech.,455,38 %,33 %,33 %,47 %,40 %,60 %,00 %,
Electronics and Communications Engineering,B. Tech.,455,40 %,60 %,00 %,60 %,35 %,40 %,00 %,
Electrical and Electronics Engineering,B. Tech.,452,42 %,20 %,47 %,60 %,30 %,40 %,00 %,
Computer Science Engineering,B. Tech.,452,38 %,20 %,33 %,60 %,40 %,33 %,00 %,
Computer Science Engineering,B. Tech.,452,44 %,67 %,27 %,40 %,15 %,27 %,00 %,
Computer Science Engineering,B. Tech.,452,42 %,40 %,27 %,60 %,25 %,33 %,00 %,
Electrical and Electronics Engineering,B. Tech.,452,44 %,33 %,47 %,53 %,05 %,20 %,00 %,
Computer Science Engineering,B. Tech.,452,44 %,47 %,40 %,47 %,35 %,13 %,00 %,
Civil Engineering,B. Tech.,452,42 %,53 %,20 %,53 %,30 %,20 %,00 %,
Computer Science Engineering,B. Tech.,452,40 %,33 %,40 %,47 %,25 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,452,42 %,60 %,33 %,33 %,30 %,13 %,00 %,
Electronics and Communications Engineering,B. Tech.,452,38 %,47 %,27 %,40 %,50 %,33 %,00 %,
Electrical and Electronics Engineering,B. Tech.,452,40 %,27 %,33 %,60 %,45 %,20 %,00 %,
Electrical Engineering,B. Tech.,449,40 %,53 %,27 %,40 %,30 %,07 %,00 %,
Electronics and Communications Engineering,B. Tech.,449,42 %,53 %,33 %,40 %,20 %,27 %,00 %,
Computer Science Engineering,B. Tech.,449,40 %,53 %,00 %,67 %,30 %,40 %,20 %,
Computer Science Engineering,B. Tech.,449,42 %,60 %,20 %,47 %,20 %,20 %,00 %,
Electrical and Electronics Engineering,B. Tech.,449,40 %,40 %,40 %,40 %,35 %,40 %,00 %,
Electrical Engineering,B. Tech.,449,42 %,53 %,33 %,40 %,25 %,13 %,00 %,
Computer Science Engineering,B. Tech.,449,42 %,53 %,33 %,40 %,25 %,40 %,00 %,
Electrical Engineering,B. Tech.,446,38 %,47 %,27 %,40 %,40 %,20 %,00 %,
Mechanical Engineering,B. Tech.,446,40 %,60 %,00 %,60 %,30 %,20 %,00 %,
Electrical and Electronics Engineering,B. Tech.,446,40 %,33 %,40 %,47 %,25 %,33 %,00 %,
Civil Engineering,B. Tech.,446,38 %,60 %,20 %,33 %,35 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,446,40 %,27 %,47 %,47 %,30 %,13 %,00 %,
Civil Engineering,B. Tech.,446,40 %,33 %,47 %,40 %,20 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,446,38 %,47 %,33 %,33 %,45 %,40 %,00 %,
Computer Science Engineering,B. Tech.,446,42 %,40 %,20 %,67 %,15 %,53 %,18 %,
Electronics and Communications Engineering,B. Tech.,446,36 %,47 %,27 %,33 %,35 %,40 %,00 %,
Civil Engineering,B. Tech.,446,38 %,53 %,27 %,33 %,45 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,446,38 %,47 %,13 %,53 %,30 %,33 %,00 %,
Electrical Engineering,B. Tech.,443,40 %,40 %,53 %,27 %,30 %,13 %,00 %,
Electrical Engineering,B. Tech.,443,40 %,53 %,33 %,33 %,35 %,33 %,00 %,
Electrical Engineering,B. Tech.,443,42 %,33 %,47 %,47 %,40 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,443,38 %,53 %,07 %,53 %,30 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,443,42 %,40 %,33 %,53 %,35 %,53 %,00 %,
Mechanical Engineering,B. Tech.,443,38 %,47 %,33 %,33 %,30 %,13 %,00 %,
Mechanical Engineering,B. Tech.,443,42 %,27 %,40 %,60 %,30 %,07 %,00 %,
Electrical Engineering,B. Tech.,440,40 %,27 %,27 %,67 %,40 %,40 %,00 %,
Computer Science Engineering,B. Tech.,440,36 %,47 %,13 %,47 %,50 %,33 %,00 %,
Civil Engineering,B. Tech.,440,40 %,40 %,33 %,47 %,45 %,20 %,00 %,
Civil Engineering,B. Tech.,440,38 %,33 %,20 %,60 %,50 %,33 %,00 %,
Electrical and Electronics Engineering,B. Tech.,440,40 %,40 %,27 %,53 %,45 %,53 %,00 %,
Computer Science Engineering,B. Tech.,437,36 %,40 %,07 %,60 %,25 %,27 %,00 %,
Civil Engineering,B. Tech.,437,38 %,33 %,47 %,33 %,40 %,33 %,00 %,
Civil Engineering,B. Tech.,437,42 %,47 %,27 %,53 %,15 %,20 %,00 %,
Mechanical Engineering,B. Tech.,437,38 %,47 %,27 %,40 %,35 %,33 %,00 %,
